,都道府県コード又は市区町村コード,都道府県名,市区町村名,名称,名称_カナ,住所,方書,設置位置,備考（設置台数）,経度,緯度
39,32018,岩手県,盛岡市,加賀野地区活動センター,カガノチクカツドウセンター,岩手県盛岡市加賀野4-18-55,,,1,141.1696199,39.70913815
40,32018,岩手県,盛岡市,太田地区活動センター・太田支所,オオタチクカツドウセンター・オオタシショ,岩手県盛岡市中太田深持9,,,1,141.1006922,39.6931743
41,32018,岩手県,盛岡市,みたけ地区活動センター,ミタケチクカツドウセンター,岩手県盛岡市みたけ4-10-52,,,1,141.1210709,39.74283102
42,32018,岩手県,盛岡市,山岸地区活動センター,ヤマギシチクカツドウセンター,岩手県盛岡市山岸4-11-13,,,1,141.1713022,39.72038583
43,32018,岩手県,盛岡市,仙北地区活動センター,センボクチクカツドウセンター,岩手県盛岡市仙北2-4-13,,,1,141.1496,39.685926
44,32018,岩手県,盛岡市,土淵地区活動センター,ツチブチチクカツドウセンター,岩手県盛岡市前潟4-4-30,,,1,141.096861,39.7102609
45,32018,岩手県,盛岡市,中野地区活動センター,ナカノチクカツドウセンター,岩手県盛岡市東安庭字小森57-1,,,1,141.1687541,39.6808817
46,32018,岩手県,盛岡市,盛岡市総合福祉センター,モリオカシソウゴウフクシセンター,岩手県盛岡市若園町2-2,,,1,141.1580152,39.70313632
47,32018,岩手県,盛岡市,玉山総合福祉センタ－,タマヤマソウゴウフクシセンター,岩手県盛岡市渋民字泉田360,,,1,141.1671139,39.84671032
48,32018,岩手県,盛岡市,かつら荘,カツラソウ,岩手県盛岡市前九年3-7-1,,,1,141.1210807,39.71714083
49,32018,岩手県,盛岡市,しらたき工房,シラタキコウボウ,岩手県盛岡市川目15-1-6,,,1,141.1953807,39.68947965
50,32018,岩手県,盛岡市,ひまわり学園,ヒマワリガクエン,岩手県盛岡市前九年3-12-38,,,1,141.1211448,39.71922453
51,32018,岩手県,盛岡市,山岸老人憩いの家,ヤマギシロウジンイコイノイエ,岩手県盛岡市山岸6-13-13,,,1,141.1717453,39.72811724
52,32018,岩手県,盛岡市,高松老人憩いの家,タカマツロウジンイコイノイエ,岩手県盛岡市高松3-8-53,,,1,141.1419821,39.72831578
53,32018,岩手県,盛岡市,西青山老人憩いの家,ニシアオヤマロウジンイコイノイエ,岩手県盛岡市西青山3-6-30,,,1,141.1022663,39.72232233
54,32018,岩手県,盛岡市,津志田老人福祉センター,ツシダロウジンフクシセンター,岩手県盛岡市津志田西2-16-90,,,1,141.1486089,39.66328459
55,32018,岩手県,盛岡市,杜陵老人福祉センター,トリョウロウジンフクシセンター,岩手県盛岡市南大通1-7-5,,,1,141.1556124,39.69823447
56,32018,岩手県,盛岡市,西厨川老人福祉センター,ニシクリヤガワロウジンフクシセンター,岩手県盛岡市北天昌寺町7-27,,,1,141.1175119,39.71237429
57,32018,岩手県,盛岡市,乙部老人福祉センター,オトベロウジンフクシセンター,岩手県盛岡市乙部28-34-5,,,1,141.200068,39.60696833
58,32018,岩手県,盛岡市,仙北児童センター・仙北老人福祉センター,センボクジドウセンター・センボクロウジンフクシセンター,岩手県盛岡市東仙北1-6-27,,,1,141.155927,39.68606262
59,32018,岩手県,盛岡市,山王児童センター・山王老人福祉センター,サンノウロウジンセンター・サンノウロウジンフクシセンター,岩手県盛岡市山王町10-25,,,1,141.1651198,39.70008335
60,32018,岩手県,盛岡市,上田児童センター・上田老人福祉センター,ウエダジドウセンター・ウエダロウジンフクシセンタ－,岩手県盛岡市上田4-5-18,,,1,141.1349199,39.72122468
61,32018,岩手県,盛岡市,上堂児童センター・上堂老人福祉センター,カミドウジドウセンター・カミドウロウジンフクシセンター,岩手県盛岡市上堂3-17-10,,,1,141.1271693,39.72857328
62,32018,岩手県,盛岡市,緑が丘児童センター・緑が丘老人福祉センター,ミドリガオカジドウセンター・ミドリガオカロウジンフクシセンター,岩手県盛岡市緑が丘3-19-18,,,1,141.1447827,39.73745472
