都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,住所,方書,緯度,経度,設置位置,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,小児対応設備の有無,URL,備考,"注1：利用可能曜日が定まっている施設に設置されている場合、区分：◎。定まっていない施設に設置されている場合、空欄とし、「利用可能日時特記事項」に「○○小学校の利用可能曜日に従う」等理由を記載
注2：開始時間が定まっている施設に設置されている場合、区分：◎。定まっていない施設に設置されている場合、空欄とし、「利用可能日時特記事項」に「○○小学校の開始時間に従う」等理由を記載
注3：終了時間が定まっている施設に設置されている場合、区分：◎。定まっていない施設に設置されている場合、空欄とし、「利用可能日時特記事項」に「○○小学校の終了時間に従う」等理由を記載"
32026,3020,岩手県,宮古市,認定こども園そけい幼稚園,ニイテイコドモエンソケイヨウチエン,岩手県宮古市磯鶏沖4-20,,39.628806,141.963025,正面玄関,62-8678,,,,,,,,,,,
32026,3021,岩手県,宮古市,認定こども園宮古泉幼稚園,ニイテイコドモエンミヤコイズミヨウチエン,岩手県宮古市上鼻2-6-6,,39.631285,141.912369,正面玄関,62-6365,,,,,,,,,,,
32026,3022,岩手県,宮古市,認定こども園宮古ひかり,ニンテイコドモエンミヤコヒカリ,岩手県宮古市西町3-3-26,,39.647099,141.940951,事務室内,62-6845,,,,,,,,,,,
32026,3023,岩手県,宮古市,宮古学童の家,ミヤコガクドウノイエ,岩手県宮古市横町5-1,宮古小学校敷地内,39.644435,141.950263,正面玄関,62-6599,,,,,,,,,,,
32026,4001,岩手県,宮古市,千徳学童の家,セントクガクドウノイエ,岩手県宮古市西ヶ丘1-2-1,千徳小学校内,39.640534,141.91674,正面玄関,62-6846,,,,,,,,,,,
32026,4002,岩手県,宮古市,山口学童の家,ヤマグチガクドウノイエ,岩手県宮古市鴨崎町3-25,山口小学校内,39.644761,141.941723,正面玄関付近,64-4301,,,,,,,,,,,
32026,4003,岩手県,宮古市,鍬ヶ崎学童の家,クワガサキガクドウノイエ,岩手県宮古市熊野町6-33,鍬ヶ崎小学校敷地内,39.649742,141.965343,電話付近,63-5856,,,,,,,,,,,
32026,4004,岩手県,宮古市,磯鶏学童の家,ソケイガクドウノイエ,岩手県宮古市上村2-4-1,磯鶏小学校敷地内,39.627242,141.954444,第1学童正面玄関,64-5907,,,,,,,,,,,
32026,4005,岩手県,宮古市,崎山学童の家,サキヤマガクドウノイエ,岩手県宮古市崎山3-2,崎山小学校内,39.679008,141.960579,正面玄関,64-5862,,,,,,,,,,,
32026,4006,岩手県,宮古市,花輪学童の家,ハナワガクドウノイエ,岩手県宮古市花輪4-26,花輪小学校敷地内,39.609319,141.899913,第1学童出入口付近,69-3155,,,,,,,,,,,
32026,4007,岩手県,宮古市,津軽石学童の家,ツガルイシガクドウノイエ,岩手県宮古市津軽石4-82,津軽石小学校敷地内,39.581318,141.934213,正面玄関,67-9171,,,,,,,,,,,
32026,4008,岩手県,宮古市,田老学童の家,タロウガクドウノイエ,岩手県宮古市田老字館が森3,田老公民館内,39.737911,141.969452,学童の部屋内,87-9171,,,,,,,,,,,
32026,4010,岩手県,宮古市,宮古養護学童の家,ミヤコヨウゴガクドウノイエ,岩手県宮古市崎山5-88,,39.697213,141.949947,保育室内ロッカー上,64-3506,,,,,,,,,,,
32026,4012,岩手県,宮古市,うみどり公園（管理棟）,ウミドリコウエン,岩手県宮古市新川町2,,39.64312,141.95676,管理棟内,,,,,,,,,,,,
32026,4013,岩手県,宮古市,宮古市地域創生センター,ミヤコチイキソウセイセンター,岩手県宮古市神林3-1,,39.62044,141.96319,1階受付案内前、2階事務室受付前,65-7133,,,,,,,,,,,
32026,4014,岩手県,宮古市,新里学童の家,ニイサトガクドウノイエ,宮古市刈屋11-53-3,,39.662373,141.726268,玄関付近の手洗い場,79-1588,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,無,,,
